Orthogroup	Amanita_muscaria	Arabidopsis_thaliana	Canis_lupus	Dyctiostelium_discoideum	Paramecium_tetraurelia	Phytophthora_infestans	Total
OG0000000	238	0	0	0	0	0	238
OG0000001	1	234	0	0	0	1	236
OG0000002	200	0	0	0	0	2	202
OG0000003	2	24	0	15	0	84	125
OG0000004	2	46	35	10	5	20	118
OG0000005	0	117	0	0	0	0	117
OG0000006	0	0	117	0	0	0	117
OG0000007	0	0	0	102	0	0	102
OG0000008	0	0	0	0	101	0	101
OG0000009	100	0	0	0	0	0	100
OG0000010	6	7	35	8	29	15	100
OG0000011	0	92	0	0	0	0	92
OG0000012	0	0	0	0	91	0	91
OG0000013	90	0	0	0	0	0	90
OG0000014	0	0	0	0	0	89	89
OG0000015	0	0	87	0	0	0	87
OG0000016	0	85	0	0	0	0	85
OG0000017	8	9	10	10	32	14	83
OG0000018	0	83	0	0	0	0	83
OG0000019	0	0	0	83	0	0	83
OG0000020	0	0	0	0	82	0	82
OG0000021	0	0	0	0	82	0	82
OG0000022	81	0	0	0	0	0	81
OG0000023	10	18	19	13	7	13	80
OG0000024	24	18	20	14	2	1	79
OG0000025	0	0	79	0	0	0	79
OG0000026	8	19	24	6	16	5	78
OG0000027	0	38	11	13	10	6	78
OG0000028	0	0	0	0	77	0	77
OG0000029	1	0	0	74	0	0	75
OG0000030	0	75	0	0	0	0	75
OG0000031	0	75	0	0	0	0	75
OG0000032	0	0	0	0	75	0	75
OG0000033	74	0	0	0	0	0	74
OG0000034	3	12	20	3	21	15	74
OG0000035	0	74	0	0	0	0	74
OG0000036	0	0	74	0	0	0	74
OG0000037	11	24	9	0	1	28	73
OG0000038	0	73	0	0	0	0	73
OG0000039	0	0	0	0	0	73	73
OG0000040	72	0	0	0	0	0	72
OG0000041	5	20	31	2	11	3	72
OG0000042	0	0	72	0	0	0	72
OG0000043	4	7	34	7	11	7	70
OG0000044	2	2	28	5	19	14	70
OG0000045	0	70	0	0	0	0	70
OG0000046	0	70	0	0	0	0	70
OG0000047	4	9	18	5	29	4	69
OG0000048	0	0	69	0	0	0	69
OG0000049	0	0	0	69	0	0	69
OG0000050	0	0	0	0	69	0	69
OG0000051	0	68	0	0	0	0	68
OG0000052	0	0	67	0	0	0	67
OG0000053	3	2	34	3	11	13	66
OG0000054	0	0	66	0	0	0	66
OG0000055	64	0	0	0	0	0	64
OG0000056	3	12	13	3	21	12	64
OG0000057	0	64	0	0	0	0	64
OG0000058	0	64	0	0	0	0	64
OG0000059	0	0	0	1	63	0	64
